group_id,semantic_hash,path,zone,qualname,line,loc
177,b401203348858cf35da4,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/EPNet.py,maintained,EPNet.validation_step,330,27
177,b401203348858cf35da4,algorithm/common/src/EvEye/model/DavisEyeEllipse/ElNet/ElNet.py,maintained,Creat_MyNet.validation_step,934,27
178,b4a4dc36969e329c37ff,algorithm/analysis/data-distribution/handover-v1/04_code/invocation_designspace.py,analysis,exsum,77,9
178,b4a4dc36969e329c37ff,algorithm/analysis/data-distribution/handover-v2/04_code/invocation_designspace.py,analysis,exsum,77,9
179,b670bcc7aa38f80189a6,algorithm/hybrid/src/models/patch_embeddings.py,maintained,Split1PatchFrontend._to_tokens,191,5
179,b670bcc7aa38f80189a6,algorithm/hybrid/src/models/patch_embeddings.py,maintained,Split2PatchFrontend._to_tokens,315,5
180,b70fa396e06a59f61d37,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Predict.py,maintained,predict,267,100
180,b70fa396e06a59f61d37,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Predict.py,maintained,predict,267,100
181,b778a59fb51f89ba02bc,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_frame_motion_package.py,maintained,write_report,566,111
181,b778a59fb51f89ba02bc,algorithm/common/src/EvEye/utils/scripts/evaluate_hbtxr_val_motion.py,maintained,write_report,567,111
182,b7a3eaa05f8aa9e74c0e,algorithm/common/src/EvEye/model/DavisEyeCenter/TennSt.py,maintained,SpatialBlock.streaming,137,6
182,b7a3eaa05f8aa9e74c0e,algorithm/common/src/EvEye/model/DavisEyeCenter/TennSt.py,maintained,TemporalBlock.streaming,221,6
183,b7cf25c0e1a8c1796360,algorithm/analysis/data-distribution/handover-v1/04_code/error_harness.py,analysis,run,55,15
183,b7cf25c0e1a8c1796360,algorithm/analysis/data-distribution/handover-v2/04_code/error_harness.py,analysis,run,55,15
183,b7cf25c0e1a8c1796360,algorithm/analysis/data-distribution/src/error_harness.py,analysis,run,55,15
184,b9296af1e810c35fe43a,algorithm/analysis/data-distribution/handover-v1/04_code/blink_detect.py,analysis,smooth_blink_runs,113,34
184,b9296af1e810c35fe43a,algorithm/analysis/data-distribution/handover-v2/04_code/blink_detect.py,analysis,smooth_blink_runs,113,34
184,b9296af1e810c35fe43a,algorithm/analysis/data-distribution/src/blink_detect.py,analysis,smooth_blink_runs,113,34
185,bbbc13251c708eb0d811,hardware/tests/test_write_req5_q4q8_swhw_match_audit.py,test,Req5Q4Q8SwHwMatchAuditTests.write,21,4
185,bbbc13251c708eb0d811,hardware/tests/test_write_spec_plan_conformance_audit.py,test,WriteSpecPlanConformanceAuditTests.write,21,4
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_c3b_physical_smoke_gate_audit.py,maintained,normalize_roots,32,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_hgpipe_operator_audit.py,maintained,normalize_roots,93,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_p2_vit_scale_calibration_report.py,maintained,normalize_roots,15,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_req1_environment_audit.py,maintained,normalize_roots,22,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_req2_spec_subagent_gate_audit.py,maintained,normalize_roots,16,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_req5_q4q8_swhw_match_audit.py,maintained,normalize_roots,35,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_req6_parameterization_audit.py,maintained,normalize_roots,38,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_third_goal_source_audit.py,maintained,normalize_roots,30,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_vref_p0_pot_scale_successor.py,maintained,hardware_root,59,5
186,bc4f78ffaa1aa74a9b94,hardware/tools/write_xr_vits_gate_audit.py,maintained,normalize_roots,30,5
187,be06838aa87f572de168,algorithm/analysis/data-distribution/handover-v1/04_code/common.py,analysis,load_data_segments,104,14
187,be06838aa87f572de168,algorithm/analysis/data-distribution/handover-v2/04_code/common.py,analysis,load_data_segments,104,14
187,be06838aa87f572de168,algorithm/analysis/data-distribution/src/common.py,analysis,load_data_segments,104,14
187,be06838aa87f572de168,algorithm/analysis/motion-label-packages/code/common.py,analysis,load_data_segments,104,14
188,be6b850c15de0b275e83,quantization/tests/test_imagenet_eval.py,test,ImageNetEvalTest.test_evaluate_one_runs_without_timm.guarded_import,32,4
188,be6b850c15de0b275e83,quantization/tests/test_model_registry.py,test,ModelRegistryTest.test_create_paper_model_does_not_import_timm.guarded_import,27,4
189,bed9b10cad5baf02f1c1,algorithm/common/src/EvEye/utils/dvs_common_utils/processor/EventRandomAffine.py,maintained,main,147,19
189,bed9b10cad5baf02f1c1,algorithm/common/src/EvEye/utils/dvs_common_utils/processor/NumpyEventRandomAffine.py,maintained,main,142,19
190,bf98143b3bbc839c260c,algorithm/common/src/EvEye/utils/scripts/build_reproduction_summary.py,maintained,nested_get,40,7
190,bf98143b3bbc839c260c,algorithm/common/src/EvEye/utils/scripts/compare_model_evaluation_results.py,maintained,nested_get,42,7
191,bf9e3fcfc9a1fd333d7a,algorithm/common/src/EvEye/model/DavisEyeEllipse/EPNet/Loss.py,maintained,GWDLoss.forward,328,49
191,bf9e3fcfc9a1fd333d7a,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Loss.py,maintained,GWDLoss.forward,328,49
192,c060efe67b0dd63fe372,algorithm/analysis/data-distribution/handover-v1/04_code/build_excel.py,analysis,load4,8,4
192,c060efe67b0dd63fe372,algorithm/analysis/data-distribution/handover-v2/04_code/build_excel.py,analysis,load4,8,4
192,c060efe67b0dd63fe372,algorithm/analysis/data-distribution/src/build_excel.py,analysis,load4,8,4
193,c19ddbf12305e6d168bc,algorithm/common/src/EvEye/model/DavisEyeEllipse/HBTXR/Backbone/DeiT.py,maintained,PatchEmbed.forward,36,10
193,c19ddbf12305e6d168bc,quantization/src/models/vision_transformer.py,maintained,PatchEmbed.forward,37,10
194,c36c97cdd07ebeaf824b,quantization/src/paper_equivalence.py,maintained,write_artifact_imagenet_validation_json,105,4
194,c36c97cdd07ebeaf824b,quantization/src/paper_equivalence.py,maintained,write_paper_equivalence_assets_json,212,4
195,c40006ac87d03f9df54a,algorithm/common/src/EvEye/model/DavisEyeEllipse/UNet/UNet.py,maintained,Up.__init__,67,17
